"","Sample_ID","Stiffness_Score","Tumor_Type"
"TCGA-L5-A8NQ-01A-11R-A36D-31","TCGA-L5-A8NQ-01A-11R-A36D-31",12.0558105263158,"TCGA-ESCA"
"TCGA-IG-A5B8-01A-11R-A28J-31","TCGA-IG-A5B8-01A-11R-A28J-31",12.7521315789474,"TCGA-ESCA"
"TCGA-LN-A5U6-01A-11R-A28J-31","TCGA-LN-A5U6-01A-11R-A28J-31",43.7689087719298,"TCGA-ESCA"
"TCGA-R6-A6DN-01B-11R-A31P-31","TCGA-R6-A6DN-01B-11R-A31P-31",8.84060877192982,"TCGA-ESCA"
"TCGA-IG-A4QT-01A-21R-A260-31","TCGA-IG-A4QT-01A-21R-A260-31",8.60293157894737,"TCGA-ESCA"
"TCGA-LN-A49L-01A-11R-A24K-31","TCGA-LN-A49L-01A-11R-A24K-31",16.1322543859649,"TCGA-ESCA"
"TCGA-JY-A93D-01A-11R-A38D-31","TCGA-JY-A93D-01A-11R-A38D-31",47.9751719298246,"TCGA-ESCA"
"TCGA-L5-A4OX-01A-21R-A28J-31","TCGA-L5-A4OX-01A-21R-A28J-31",8.15251403508772,"TCGA-ESCA"
"TCGA-Z6-AAPN-01A-11R-A406-31","TCGA-Z6-AAPN-01A-11R-A406-31",11.4156649122807,"TCGA-ESCA"
"TCGA-2H-A9GR-01A-12R-A37I-31","TCGA-2H-A9GR-01A-12R-A37I-31",18.7738754385965,"TCGA-ESCA"
"TCGA-LN-A7HW-01A-22R-A354-31","TCGA-LN-A7HW-01A-22R-A354-31",95.7985824561404,"TCGA-ESCA"
"TCGA-M9-A5M8-01A-11R-A28J-31","TCGA-M9-A5M8-01A-11R-A28J-31",16.3206385964912,"TCGA-ESCA"
"TCGA-LN-A49O-01A-11R-A24K-31","TCGA-LN-A49O-01A-11R-A24K-31",16.4314614035088,"TCGA-ESCA"
"TCGA-V5-AASX-01A-11R-A38D-31","TCGA-V5-AASX-01A-11R-A38D-31",12.7532929824561,"TCGA-ESCA"
"TCGA-IG-A3YA-01A-11R-A24K-31","TCGA-IG-A3YA-01A-11R-A24K-31",32.8709350877193,"TCGA-ESCA"
"TCGA-IG-A6QS-01A-12R-A336-31","TCGA-IG-A6QS-01A-12R-A336-31",24.8209614035088,"TCGA-ESCA"
"TCGA-L5-A88Y-01A-11R-A354-31","TCGA-L5-A88Y-01A-11R-A354-31",21.3596122807018,"TCGA-ESCA"
"TCGA-LN-A9FP-01A-31R-A38D-31","TCGA-LN-A9FP-01A-31R-A38D-31",35.6164894736842,"TCGA-ESCA"
"TCGA-V5-AASV-01A-11R-A38D-31","TCGA-V5-AASV-01A-11R-A38D-31",12.7691298245614,"TCGA-ESCA"
"TCGA-R6-A8W5-01B-11R-A37I-31","TCGA-R6-A8W5-01B-11R-A37I-31",28.3535035087719,"TCGA-ESCA"
"TCGA-2H-A9GK-01A-11R-A37I-31","TCGA-2H-A9GK-01A-11R-A37I-31",25.296849122807,"TCGA-ESCA"
"TCGA-L5-A4OF-01A-11R-A260-31","TCGA-L5-A4OF-01A-11R-A260-31",15.1947157894737,"TCGA-ESCA"
"TCGA-L5-A88W-01A-11R-A354-31","TCGA-L5-A88W-01A-11R-A354-31",16.8009912280702,"TCGA-ESCA"
"TCGA-L5-A8NI-01A-11R-A37I-31","TCGA-L5-A8NI-01A-11R-A37I-31",31.633349122807,"TCGA-ESCA"
"TCGA-JY-A93E-01A-11R-A37I-31","TCGA-JY-A93E-01A-11R-A37I-31",20.7725368421053,"TCGA-ESCA"
"TCGA-LN-A4MQ-01A-11R-A28J-31","TCGA-LN-A4MQ-01A-11R-A28J-31",10.2460578947368,"TCGA-ESCA"
"TCGA-LN-A4A8-01A-32R-A260-31","TCGA-LN-A4A8-01A-32R-A260-31",43.3586350877193,"TCGA-ESCA"
