,gene,log2FC,p_value,adjusted_p,-log10(adjusted_p)
190,AL121992.3,-0.0013298498,0.9173264904031642,0.9999853635789433,6.356563418520975e-06
191,AGMAT,0.051983237,8.648416072944659e-06,2.6057451763504025e-05,4.584068057509085
192,AL121992.1,0.001064816,0.9338141243920467,0.9999853635789433,6.356563418520975e-06
193,DDI2,0.06849554,1.6409611765173937e-08,5.832571607728888e-08,7.234139920575253
194,PLEKHM2,0.10674745,5.8919865435659925e-18,3.108896529125025e-17,16.507393731986344
195,SLC25A34,0.003934043,0.7698218709820821,0.9999853635789433,6.356563418520975e-06
196,FBLIM1,0.0048570614,0.6171029371461649,0.9548355734228365,0.020071409257400925
197,UQCRHL,0.06202636,3.312776203082968e-08,1.1585969893121383e-07,6.93606760437729
198,AL450998.2,0.025797844,0.06863502264849518,0.14221685689459918,0.8470489238423949
199,SPEN,0.13705581,4.762577785689555e-35,4.002087216339315e-34,33.39771345114155
200,ZBTB17,0.089042276,1.0626055577034998e-12,4.596398786370098e-12,11.337582298694217
201,FAM131C,-0.052085217,0.0025175614680403814,0.006236187030267087,2.205080868307619
202,ARHGEF19,0.021933474,0.019049071145980454,0.04285801336593136,1.367967964050372
203,CPLANE2,0.0014840178,0.6537513599355871,0.9915984756428169,0.003664149532717516
204,FBXO42,0.01052171,0.3525900775761782,0.6180066713020534,0.20900683673314077
205,SZRD1,0.1853199,1.7629877498510427e-134,6.913540996236041e-133,132.1602994575126
206,SPATA21,0.0014185915,0.9017139567556481,0.9999853635789433,6.356563418520975e-06
207,NECAP2,0.13148165,2.4173335599713688e-42,2.4041578820582877e-41,40.61903701543168
208,LINC01772,0.006098021,0.7128144105548904,0.9999853635789433,6.356563418520975e-06
209,AL137802.2,0.0013235305,0.8974001981791327,0.9999853635789433,6.356563418520975e-06
210,NBPF1,0.020118827,0.058407967743151885,0.12238707278920108,0.9122644523931412
211,CROCC,0.014251329,0.08272886526250732,0.16897288048248496,0.7721829924390433
212,BX284668.5,0.0011778952,0.9438765579409186,0.9999853635789433,6.356563418520975e-06
213,BX284668.6,-0.0024484703,0.9229895176982726,0.9999853635789433,6.356563418520975e-06
214,ATP13A2,0.06973061,3.317276994755114e-09,1.2213207169077815e-08,7.913170276027588
215,SDHB,0.14972162,2.153872543589504e-108,6.027472429494133e-107,106.21986476746996
216,PADI2,0.0033780462,0.8018989013984102,0.9999853635789433,6.356563418520975e-06
217,PADI4,0.004952293,0.7692870675016853,0.9999853635789433,6.356563418520975e-06
218,RCC2,0.12140733,1.1031973648359538e-33,8.995611161877121e-33,32.04596932534632
219,ALDH4A1,0.057819314,7.611837741724079e-08,2.6105654487439586e-07,6.5832654142433285
220,IFFO2,0.0058475286,0.43103329115511235,0.7305219706601952,0.13636671800073183
221,UBR4,0.09367764,5.30549689735845e-17,2.70370178166326e-16,15.568041212774972
222,AL035413.1,-0.0069162734,0.6167873584207408,0.9546605921398845,0.02015100450059193
223,EMC1,0.13724461,3.0077445925452342e-30,2.2751475805369664e-29,28.642990426991904
224,MRTO4,0.1899085,8.263405018865543e-101,2.090045382565115e-99,98.67984428365754
225,AKR7A3,0.0033438355,0.7883337931129639,0.9999853635789433,6.356563418520975e-06
226,AKR7A2,-0.02289915,0.057498790601606564,0.1206516514360395,0.9184667292491805
227,PQLC2,0.03978908,0.0005703406191645327,0.0015027008916900213,2.823127455884068
228,CAPZB,0.043750644,1.0152368987843603e-44,1.055492222329182e-43,42.97654496255714
